CAMK2G	CAMK2B
PIK3CB	PDGFB
SYK	GRB2
RBX1	EGLN1
ADAM17	SHH
HDAC1	SMAD4
CAMK2G	CAMK2D
MVK	SP1
ANGPT1	GRB14
CDKN1A	CKS1B
MMP2	SCUBE3
PDK1	PDHX
CRADD	CASP2
LY96	TAB2
IL13	STAT3
PPARGC1A	MEF2C
MAP3K14	FBXW11
PPARG	PTEN
TRAV29DV5	CD1B
SEC24C	SAR1B
RAD50	RIF1
DCTN4	GALNT2
RAC1	EFNB2
TDGF1	GDF1
TP53BP1	SUMO1
CACNG4	ADAM23
KDM4C	AR
RAP1B	SYK
EIF1AX	EIF4B
PRKAA2	TBC1D1
GFRA4	GFRA3
SRC	ELMO2
PLEC	ITGA6
PEX14	PEX1
CDK4	E2F5
PRMT5	CDK4
CDKN2A	E2F3
FOXO4	RBL2
PIP4K2C	PIP4K2A
GRB10	GDNF
RPA2	FEN1
IFIH1	MAVS
PTPN12	PDGFRA
MYH6	MYBPC1
PIK3CG	IRS2
ADCYAP1R1	NTRK2
ITGB3	SHB
NBN	UBE2N
DBF4	RPA1
COMMD1	CUL1
EGFR	GAB1
CHUK	NFKB1
XRCC5	NSD2
GRK7	RHO
HIF1A	USP19
RHOA	LIMK1
DYNC1I2	DCTN2
NCSTN	NGF
DVL2	AP2M1
ERBB3	MATK
SYT1	STON2
RPTOR	RRAGC
WNT3A	WIF1
GDI2	RAB38
TICAM2	TAB2
TLL1	LOXL1
ATM	EYA2
CASP8	CASP10
CCDC22	UBE2M
UBE2I	SATB2
FCGR1A	VAV3
NCOA1	NR1H4
CACNG2	ADAM23
F2RL3	GNA12
NOTCH1	E2F3
TP53I3	PPP1R13B
STK3	SAV1
TNFRSF12A	BIRC2
CAMK2B	DLG1
SEC13	SEC24C
GFRA1	FRS2
TICAM1	RIPK1
TNNC2	TNNI3
PCGF6	MAX
TNFSF13B	MAP3K14
CFLAR	CASP8
SEC61B	SEC61G
CITED4	TFAP2C
INHBA	ACVR2B
GTSE1	HSP90AA1
ZFAND6	PEX1
PIK3R1	GP5
RHOC	PPP1CB
BHLHE41	ARNTL
TNNT3	TNNC2
KL	FRS2
BMPR2	BMPR1A
WASL	DCC
PEX14	PEX2
ETFA	ETFB
VIM	HBB
PTPN11	FGFR2
PPP3CB	PPP3R1
FYN	LCK
MAPK11	NCF2
NOD2	MAP3K7
POLA1	RPA2
GRIN1	TIAM1
STAT5A	JAK1
NFKB2	SUMO1
FOXO1	SMAD4
RAB3IL1	CHM
LIG3	POLK
TP53	NLRC4
CASP3	BIRC2
TNFSF12	TRAF2
CTNND1	JUP
STK11	CAB39L
PAK1	PPP1R12B
JAK2	IFNG
HMGA1	CABIN1
LCK	PDCD1LG2
TICAM1	TANK
FCER2	MAML3
DYNC1I1	ACTR1A
BTK	VAV3
PIK3R1	PTPN11
MCHR2	PMCH
YWHAB	RAP1GAP2
CLTC	NTRK1
YY1	OGT
PRKAB1	BECN1
SUMO2	UBE2V2
MAD2L1	BUB1B
CCND1	LEF1
TTBK2	MARK4
GFRA3	ARTN
SMAD7	PPP1CB
DPH1	DPH3
CSH1	SH2B1
TNFRSF10B	TNFRSF10D
PRKAG2	PPARGC1A
IKBKB	IKBKG
GFRA4	GDNF
XRCC6	NBN
WWTR1	DVL2
DYNC1LI1	GALNT2
SEC24B	SREBF2
PEX5	PEX2
CD36	TRAF6
TBL1XR1	FABP1
KDM5B	MYC
TRPC1	STIM1
MAPK1	CASP9
GRIN1	GRIN2B
IFT140	GPR161
SREBF2	MVK
ACVR2A	NODAL
EPC1	EED
ARRB2	ADRB2
ITGB1	LAMB1
CCND1	E2F4
F11R	PARD6B
F2	F2RL2
C7	C8G
SEC24C	STX5
EBI3	IL12RB2
LCK	SOS1
BCL10	PRKCQ
GRB7	ERBB3
BRAF	MAPK3
CD4	CD247
USP46	CRTC3
LIMD1	EPAS1
DBT	BCKDHB
PARP1	NBN
STAM2	USP8
TCF7L2	SMARCA4
CD2AP	PIK3CB
EMB	SLC16A7
TFF3	EP300
MRE11	ATRIP
CUL2	EGLN3
MOV10	AGO1
KAT5	PIAS4
FLRT3	FGFR1
MAP3K1	TRAF2
GIT1	PAK3
GAD1	GAD2
DNER	NOTCH1
RALGDS	RALB
PRLR	PRL
ABRAXAS1	PIAS4
METTL3	METTL14
BRCA1	DNA2
PDPK1	PRKCB
KRT26	FLG
NPM1	RAN
SLCO1B3	ALB
KTN1	RHOG
MAPK3	MARK3
RPA3	RAD1
CEBPA	CEBPE
RND1	FES
TP53	PHF20
PTCH1	SHH
ACTB	AFDN
KDR	ITGB3
EDNRB	EDN2
CSH1	GH1
CD14	TRAF3
RBX1	CUL9
GRIN2C	GRIN1
UBE2B	RAD18
LAMP2	RNASE1
GABRB2	GABRB3
DLG3	GRM1
MAPK1	CBFB
RUNX1	YAP1
RRM1	TXN
ATR	H2AX
NRG1	ERBB2
CYP26B1	CRABP1
HGS	VPS37A
KCNK2	KCNK4
RAB3GAP2	RAB3GAP1
OPN1MW	OPN1SW
STAT2	IFNAR2
BTRC	FBXO5
GRB2	GAB1
NSD2	KAT5
MSH2	ATF2
DLG4	KRAS
LAMA2	LAMB2
M6PR	VPS54
UFD1	POLH
IL1RL1	IL1RAP
TYK2	JAK1
TYK2	IL12RB1
MAPK1	CYCS
CD8A	CD3G
NSL1	NDC80
ACVR2B	BMPR1A
C3	C3AR1
RPTOR	RRAGD
CYLD	NOD1
MASP1	MBL2
KHSRP	DCP2
NLRP3	SUGT1
GNA11	GRK2
POLE4	PRIM1
SHC1	NTF3
JMY	PRMT5
RABEP1	GGA2
CAMK2G	CAMK2A
GLRA3	GLRB
TREM2	FYN
CUL1	NOTCH1
WIPF3	WASL
CDC37	HBEGF
UBE2M	RBX1
CDK8	RBPJ
ZAP70	SOS1
PRKAA1	SLC38A9
HTR3A	HTR3D
RIC1	CHM
SCFD1	GORASP1
STRADB	CAB39
DYNLL1	GALNT2
PTK6	KHDRBS3
THBD	F2
CDK1	BUB1B
RAB14	GDI2
ZAP70	CD3D
DOCK1	CDC42
PACS1	AP1S3
TYK2	IL12RB2
TP53BP1	NBN
TFAP2A	CDKN1A
GOSR2	SEC22B
RNF135	CASP10
L1CAM	AP2A2
TEAD3	YAP1
WASL	NPHS1
PKD1	RAB11A
NPTN	GABRG3
APBB1IP	RAP1A
RND1	ARHGEF11
PDGFB	PTPN11
CITED1	EP300
ARHGEF9	GABRA2
SH3GL2	STAM
REL	NFKBIA
CDK1	MAD2L1
RTKN	LIN7B
NLN	NTS
FGFR3	PIK3CA
PIK3CA	PDGFA
CDC42	IQGAP2
UPF3B	CASC3
RAC1	KLC1
HDAC3	PPARG
ZC3H8	ICE1
IRAK1	TIRAP
KMT5A	PHF8
PRIM2	POLD1
PCNA	CUL4B
ADRB2	GRK6
KIF23	RACGAP1
AGO2	TNRC6B
TEC	ITK
AP1M1	AP1S2
LAMB3	COL17A1
EP300	PPARGC1A
SNW1	MAML2
CNGA1	CALM1
ITGAV	PTK2
PIP	AZGP1
CATSPER4	CATSPER3
F8	LMAN1
AXIN1	WNT3A
GRK3	AVPR2
PSPN	GAB2
GFRA3	SOS1
CREBBP	TFAP2B
GRB2	PAK2
UBE2V1	TRAF6
EIF4A3	MAGOH
LYN	VAV3
PIK3CA	MET
IRAK2	TLR8
EFNB1	GIT1
KDM4B	RNF8
KCTD6	CBFB
KLK3	IGF2
MRE11	NSD2
E2F8	E2F7
GNL3	EBNA1BP2
NRCAM	SCN1B
RABGGTB	PTP4A2
TRAF6	TICAM2
STX6	STX16
CHEK2	TP53
TRAF6	TICAM1
NR3C1	UBE2I
EP300	DNAJB1
SHANK2	HOMER1
SEMA4D	RHOA
ATP6V1H	AP2B1
STAM2	EPS15
PICK1	GRIP1
LINGO1	OMG
F2RL3	GNA13
C8G	CD59
ARTN	FRS2
LRFN3	RTN3
GTSE1	PLK1
PTPN1	JAK2
CTNNB1	CDH1
NCK1	PAK3
FLT3	GAB2
RET	PIK3CB
PRKACB	PDE4B
CATSPER4	CATSPERD
MAGOH	UPF2
MS4A2	LAT2
PCNA	POLA1
C9	C8G
RHOA	LIN7B
GDNF	GFRA4
WRN	ATRIP
XPA	PARP1
RXRA	UBE2I
FBLN5	FBN1
RMI1	RPA2
CDK5	CDK5R1
PRC1	RHOB
PRKACG	PRKACA
FN1	ITGB3
CSNK2A1	PDCL
HSP90AA1	FKBP5
IL27RA	IL12A
KIF4B	AP2M1
YWHAB	NGF
ERBB2	NRG4
CLTB	AP2A2
DCLRE1C	H2AX
HGS	MVB12A
SKI	SMAD9
FLT4	VEGFD
AP2M1	AP2A1
RABEP1	TBC1D3
EIF4A1	EIF1AX
TFAP2C	KCTD1
CITED2	TFAP2B
ATM	RNF8
CAPZA2	GALNT1
PTGES3	STIP1
STAT5B	SOCS1
MCM10	RPA4
ITGA2B	APBB1IP
EGFR	LRRK2
PSPN	GDNF
SRC	ERBB4
NECTIN1	NECTIN3
RXRA	EEPD1
B4GALNT2	UMOD
RIF1	MRE11
GBF1	COPA
VPS37A	MVB12B
SOS1	FGF23
EP300	MYSM1
MAP3K14	TNFSF11
SOCS3	STAT2
MDM2	USP2
TICAM2	IKBKG
CAV1	NOSTRIN
VPS25	MVB12A
PPP5C	RAF1
FANCD2	RPA3
RAD51B	RAD51AP1
TRAV19	ZAP70
UBE2I	HDAC2
PTK2	ELMO2
DAG1	NRXN1
CUL4A	DTL
RAD50	PAXIP1
CYBA	NCF1
USO1	SEC24B
CDK9	NELFB
ABCC9	KCNJ11
PRKG2	KCNMB3
TICAM2	SARM1
ICAM2	CD209
MAPK3	KSR1
MASTL	ARPP19
CUL4A	ERCC6
PIK3CD	IL3
VPS4A	VPS4B
ITGB1	HSPG2
COL4A6	COL4A1
APH1B	PSEN2
ADRA2A	GNAZ
RAD23B	SUMO1
COPB1	COPB2
GRB2	NRG2
CCNA2	E2F5
OSMR	JAK1
AP2A2	AP2S1
SOS1	ITK
DTX1	ARRB1
YY1	ASXL1
PLXNA4	RRAS
GDNF	ARTN
CDC42	ACTB
GRB2	RAC1
FYN	CD79B
IRAK1	BTK
FCGR1A	ELMO1
CBL	PPP2R1A
SOS1	RAC1
TMPRSS6	LAMB3
EZH2	AEBP2
PRKACA	IL5
PER2	CRY2
ELN	VTN
VEGFA	PIK3R2
PIK3CA	CSF2RB
RAB7A	CHML
SGTA	VAMP2
CCNB1	NUMA1
COPA	COPZ1
CFTR	HSPA8
NCF1	RAC2
MARK3	MAP2K1
LCAT	APOA1
ADAM17	ERBB4
LYN	NGEF
DAB1	VLDLR
KAT5	PAXIP1
SUMO2	MTA1
SELPLG	SPN
UBE2L6	EIF4E2
DCTN3	BICD1
PRKACB	MAPKAPK5
GNA14	PIK3CA
DLX5	RUNX2
SLC16A3	SLC16A8
FXN	ISCU
ASXL2	BAP1
DYNLL1	ACTR1A
GNGT1	GNAL
MYH6	MYL4
MAPK3	KRAS
PLXNA4	PAK2
RPRD1A	RPRD1B
SRC	MAPK1
USP21	IL33
BRCA1	BRIP1
PSEN1	NGFR
UBE2D3	PEX13
CDKN1A	RBL1
GNAI2	GNAL
DLG3	HOMER1
MRE11	H2AX
CHRNA5	CHRNB4
NDUFS5	NDUFAF6
IRAK1	IL1RAP
TOLLIP	IRAK1
CHP1	LYVE1
EVC	SMO
NRP1	PLXNA4
CASP3	SAV1
PRDX1	TXN
CCNK	CDK13
RNF168	KAT5
GRB2	CD79A
SEC13	GOLGA2
NFYB	SREBF1
CLTC	PCSK9
CD247	ZAP70
FURIN	F2
GRIK1	GRIK2
NFATC2	CALM1
GRIN2B	GRIN2C
VAMP2	SLC18A3
NRG2	GABRB2
RHOB	MYL12B
PRKACB	PFKFB1
UBE2D3	PEX10
CRK	ELMO1
SMAD4	MEN1
INHBB	ACVR2A
POLH	RPA1
PEX13	PEX5
RRAGC	RB1CC1
EREG	ERBB3
CBFB	FOXP3
ELOB	CUL5
AP2B1	AP2M1
PRKAR2A	IQGAP1
DLGAP1	HOMER2
UBE2D2	PEX14
PIK3R2	NTRK1
IL20RA	JAK1
HPS1	GDI1
AP1G1	CLTC
PDGFA	CRK
CBFB	RSPO3
RBBP7	EED
SRC	PPP2CB
CYCS	UACA
AP2A2	PCSK9
PLIN3	HBB
CASP8	BCAP31
TP53	SESN1
MAPK9	JUN
PLG	PLAU
CPSF7	CLP1
COPE	COPB1
